PC_Timestamp,ECG
2026-06-18 11:36:48.048725,-65.34
2026-06-18 11:36:48.062439,-72.97
2026-06-18 11:36:48.065194,-48.73
2026-06-18 11:36:48.065194,-31.57
2026-06-18 11:36:48.081317,-24.44
2026-06-18 11:36:48.081317,-26.31
2026-06-18 11:36:48.097270,-15.24
2026-06-18 11:36:48.097270,-17.15
2026-06-18 11:36:48.116188,-2.14
2026-06-18 11:36:48.123413,40.66
2026-06-18 11:36:48.131759,81.25
2026-06-18 11:36:48.136151,75.87
2026-06-18 11:36:48.147553,21.76
2026-06-18 11:36:48.147933,-31.09
2026-06-18 11:36:48.163166,-45.86
2026-06-18 11:36:48.165165,-36.67
2026-06-18 11:36:48.179203,-19.57
2026-06-18 11:36:48.182168,9.38
2026-06-18 11:36:48.182168,21.27
2026-06-18 11:36:48.196844,13.21
2026-06-18 11:36:48.196844,1.2
2026-06-18 11:36:48.216445,14.13
2026-06-18 11:36:48.216445,14.06
2026-06-18 11:36:48.233766,0.06
2026-06-18 11:36:48.235944,4.04
2026-06-18 11:36:48.247974,15.96
2026-06-18 11:36:48.253823,1.95
2026-06-18 11:36:48.264573,-44.83
2026-06-18 11:36:48.264573,-86.39
2026-06-18 11:36:48.280029,-74.02
2026-06-18 11:36:48.281536,-28.87
2026-06-18 11:36:48.295767,5.1
2026-06-18 11:36:48.298475,18.01
2026-06-18 11:36:48.312112,9.96
2026-06-18 11:36:48.319362,11.9
2026-06-18 11:36:48.326707,8.85
2026-06-18 11:36:48.335089,25.73
2026-06-18 11:36:48.342076,24.6
2026-06-18 11:36:48.347534,19.5
2026-06-18 11:36:48.347534,22.39
2026-06-18 11:36:48.364630,30.24
2026-06-18 11:36:48.364630,13.17
2026-06-18 11:36:48.381435,-16.74
2026-06-18 11:36:48.384349,-41.53
2026-06-18 11:36:48.397559,-37.35
2026-06-18 11:36:48.403846,-26.21
2026-06-18 11:36:48.412437,-31.06
2026-06-18 11:36:48.416670,-40.85
2026-06-18 11:36:48.432916,-10.8
2026-06-18 11:36:48.437156,66.87
2026-06-18 11:36:48.445206,112.3
2026-06-18 11:36:48.452341,112.73
2026-06-18 11:36:48.460330,69.39
2026-06-18 11:36:48.466473,31.23
2026-06-18 11:36:48.466473,7.19
2026-06-18 11:36:48.480663,4.17
2026-06-18 11:36:48.480663,-10.77
2026-06-18 11:36:48.497399,-23.66
2026-06-18 11:36:48.497399,-20.55
2026-06-18 11:36:48.514658,-23.43
2026-06-18 11:36:48.517827,-44.21
2026-06-18 11:36:48.530909,-57.92
2026-06-18 11:36:48.531541,-59.62
2026-06-18 11:36:48.545529,-30.47
2026-06-18 11:36:48.554342,15.45
2026-06-18 11:36:48.561800,24.33
2026-06-18 11:36:48.564899,9.28
2026-06-18 11:36:48.578560,-6.68
2026-06-18 11:36:48.581381,10.27
2026-06-18 11:36:48.581381,19.17
2026-06-18 11:36:48.597917,8.13
2026-06-18 11:36:48.597917,-23.75
2026-06-18 11:36:48.614484,-51.49
2026-06-18 11:36:48.616996,-77.1
2026-06-18 11:36:48.631494,-83.68
2026-06-18 11:36:48.635868,-59.39
2026-06-18 11:36:48.647508,-2.37
2026-06-18 11:36:48.655372,17.54
2026-06-18 11:36:48.662456,-7.42
2026-06-18 11:36:48.670992,-27.29
2026-06-18 11:36:48.678478,-11.23
2026-06-18 11:36:48.680501,30.62
2026-06-18 11:36:48.680501,40.41
2026-06-18 11:36:48.697480,27.27
2026-06-18 11:36:48.697480,-6.69
